Factura;Fecha;Zona;Ciudad;Vendedor;Producto;Color;Cantidad;V. unitario;V. total
35;27/01/2021;Centro;Bucaramanga;Erika;Pantalón;Azul;11;60000;660000
35;27/01/2021;Sur;Cartagena;Fernanda;Zapatos;Amarillo;1;84000;84000
35;27/01/2021;Norte;Cali;Sonia;Buzo;Verde;21;52000;1092000
35;28/01/2021;Norte;Medellín;Claudia;Zapatos;Azul;28;84000;2352000
36;28/01/2021;Centro;Bucaramanga;Claudia;Chaqueta;Azul;22;130000;2860000
37;28/01/2021;Centro;Bogotá;Erika;Buzo;Gris;23;52000;1196000
37;28/01/2021;Sur;Medellín;Claudia;Buzo;Fucsia;50;52000;2600000
37;28/01/2021;Norte;Barranquilla;Fernanda;Chaqueta;Rojo;4;130000;520000
38;28/01/2021;Sur;Cali;Sonia;Buzo;Rojo;43;52000;2236000
39;28/01/2021;Centro;Cartagena;Sonia;Chaqueta;Verde;33;130000;4290000
39;30/01/2021;Norte;Cartagena;Sonia;Buzo;Azul;45;52000;2340000
39;30/01/2021;Sur;Bogotá;Erika;Camisa;Azul;33;45000;1485000
39;30/01/2021;Sur;Cali;Erika;Camisa;Fucsia;29;45000;1305000
39;31/01/2021;Sur;Bogotá;Erika;Falda;Gris;26;65000;1690000
39;31/01/2021;Norte;Medellín;Fernanda;Buzo;Fucsia;46;52000;2392000
40;1/02/2021;Centro;Bucaramanga;Fernanda;Chaqueta;Fucsia;45;130000;5850000
41;2/02/2021;Sur;Medellín;Sonia;Camisa;Blanco;28;45000;1260000
42;2/02/2021;Norte;Cali;Fernanda;Falda;Negro;7;65000;455000
43;2/02/2021;Norte;Bucaramanga;Erika;Falda;Amarillo;2;65000;130000
43;2/02/2021;Norte;Barranquilla;Sonia;Camisa;Rojo;1;45000;45000
43;3/02/2021;Sur;Cali;Erika;Buzo;Azul;44;52000;2288000
44;3/02/2021;Sur;Bucaramanga;Sonia;Chaqueta;Azul;19;130000;2470000
44;4/02/2021;Sur;Barranquilla;Fernanda;Pantalón;Azul;42;60000;2520000
44;4/02/2021;Sur;Cartagena;Claudia;Zapatos;Rojo;29;84000;2436000
45;4/02/2021;Centro;Barranquilla;Fernanda;Falda;Rojo;34;65000;2210000
46;5/02/2021;Sur;Medellín;Fernanda;Pantalón;Negro;13;60000;780000
47;6/02/2021;Sur;Cartagena;Sonia;Buzo;Azul;35;52000;1820000
47;6/02/2021;Sur;Medellín;Erika;Zapatos;Blanco;22;84000;1848000
48;6/02/2021;Centro;Cartagena;Fernanda;Falda;Rojo;35;65000;2275000
49;6/02/2021;Centro;Bucaramanga;Erika;Camisa;Gris;17;45000;765000
50;6/02/2021;Norte;Cartagena;Sonia;Falda;Amarillo;18;65000;1170000
50;7/02/2021;Sur;Bogotá;Erika;Falda;Verde;10;65000;650000
50;7/02/2021;Centro;Barranquilla;Erika;Camisa;Amarillo;23;45000;1035000
51;7/02/2021;Sur;Cali;Sonia;Camisa;Rojo;48;45000;2160000
52;7/02/2021;Sur;Bogotá;Fernanda;Buzo;Blanco;9;52000;468000
52;8/02/2021;Sur;Barranquilla;Erika;Zapatos;Azul;10;84000;840000
53;8/02/2021;Sur;Cartagena;Sonia;Falda;Verde;32;65000;2080000
54;8/02/2021;Centro;Medellín;Sonia;Buzo;Gris;28;52000;1456000
54;8/02/2021;Norte;Cartagena;Fernanda;Pantalón;Azul;12;60000;720000
55;9/02/2021;Sur;Medellín;Erika;Zapatos;Verde;23;84000;1932000
56;9/02/2021;Centro;Bucaramanga;Claudia;Zapatos;Amarillo;44;84000;3696000
56;9/02/2021;Centro;Barranquilla;Claudia;Chaqueta;Negro;29;130000;3770000
56;9/02/2021;Sur;Barranquilla;Sonia;Buzo;Rojo;29;52000;1508000
57;10/02/2021;Centro;Bogotá;Fernanda;Chaqueta;Negro;18;130000;2340000
58;11/02/2021;Centro;Medellín;Erika;Zapatos;Gris;5;84000;420000
58;12/02/2021;Sur;Bogotá;Claudia;Pantalón;Azul;30;60000;1800000
59;12/02/2021;Centro;Bogotá;Sonia;Chaqueta;Blanco;26;130000;3380000
59;13/02/2021;Sur;Barranquilla;Erika;Pantalón;Rojo;17;60000;1020000
60;13/02/2021;Sur;Cali;Fernanda;Buzo;Gris;6;52000;312000
61;13/02/2021;Norte;Cali;Fernanda;Buzo;Rojo;46;52000;2392000
62;14/02/2021;Sur;Medellín;Erika;Chaqueta;Azul;22;130000;2860000
63;15/02/2021;Sur;Cali;Erika;Camisa;Negro;41;45000;1845000
64;15/02/2021;Sur;Barranquilla;Claudia;Camisa;Blanco;2;45000;90000
64;15/02/2021;Sur;Medellín;Claudia;Pantalón;Gris;22;60000;1320000
65;15/02/2021;Centro;Cartagena;Erika;Zapatos;Fucsia;40;84000;3360000
66;16/02/2021;Sur;Bogotá;Sonia;Chaqueta;Fucsia;11;130000;1430000
66;16/02/2021;Centro;Barranquilla;Fernanda;Buzo;Negro;48;52000;2496000
66;16/02/2021;Norte;Cartagena;Erika;Camisa;Gris;16;45000;720000
66;17/02/2021;Centro;Bogotá;Erika;Camisa;Verde;31;45000;1395000
66;17/02/2021;Sur;Bucaramanga;Claudia;Camisa;Fucsia;37;45000;1665000
67;17/02/2021;Centro;Medellín;Sonia;Chaqueta;Verde;7;130000;910000
67;18/02/2021;Sur;Bucaramanga;Claudia;Zapatos;Amarillo;28;84000;2352000
68;18/02/2021;Sur;Bogotá;Claudia;Chaqueta;Gris;2;130000;260000
69;18/02/2021;Norte;Cartagena;Fernanda;Camisa;Verde;47;45000;2115000
69;18/02/2021;Norte;Barranquilla;Sonia;Pantalón;Gris;5;60000;300000
70;19/02/2021;Centro;Cartagena;Fernanda;Pantalón;Gris;23;60000;1380000
70;19/02/2021;Centro;Medellín;Erika;Pantalón;Fucsia;50;60000;3000000
71;19/02/2021;Norte;Barranquilla;Fernanda;Zapatos;Negro;43;84000;3612000
72;19/02/2021;Norte;Bogotá;Fernanda;Chaqueta;Fucsia;10;130000;1300000
72;20/02/2021;Centro;Cartagena;Fernanda;Zapatos;Fucsia;3;84000;252000
72;20/02/2021;Centro;Bucaramanga;Sonia;Chaqueta;Blanco;19;130000;2470000
72;20/02/2021;Sur;Bucaramanga;Fernanda;Camisa;Negro;38;45000;1710000
72;20/02/2021;Sur;Bogotá;Fernanda;Zapatos;Azul;27;84000;2268000
72;21/02/2021;Sur;Bogotá;Claudia;Pantalón;Blanco;16;60000;960000
72;22/02/2021;Norte;Cartagena;Claudia;Zapatos;Azul;45;84000;3780000
73;22/02/2021;Centro;Cali;Claudia;Zapatos;Amarillo;22;84000;1848000
74;22/02/2021;Norte;Barranquilla;Sonia;Falda;Azul;9;65000;585000
75;22/02/2021;Centro;Cartagena;Fernanda;Falda;Verde;4;65000;260000
75;24/02/2021;Sur;Medellín;Sonia;Camisa;Verde;34;45000;1530000
75;24/02/2021;Sur;Barranquilla;Erika;Buzo;Fucsia;45;52000;2340000
75;24/02/2021;Sur;Bucaramanga;Erika;Chaqueta;Gris;40;130000;5200000
76;25/02/2021;Centro;Medellín;Claudia;Chaqueta;Rojo;44;130000;5720000
77;26/02/2021;Sur;Cartagena;Sonia;Pantalón;Negro;46;60000;2760000
77;26/02/2021;Norte;Barranquilla;Claudia;Camisa;Amarillo;32;45000;1440000
78;26/02/2021;Norte;Bucaramanga;Claudia;Pantalón;Fucsia;38;60000;2280000
78;26/02/2021;Norte;Bucaramanga;Erika;Pantalón;Gris;36;60000;2160000
79;27/02/2021;Centro;Bucaramanga;Claudia;Camisa;Fucsia;17;45000;765000
79;27/02/2021;Norte;Barranquilla;Sonia;Chaqueta;Negro;40;130000;5200000
79;27/02/2021;Sur;Cartagena;Claudia;Buzo;Gris;26;52000;1352000
80;28/02/2021;Norte;Cali;Fernanda;Camisa;Fucsia;22;45000;990000
80;1/03/2021;Sur;Medellín;Fernanda;Buzo;Amarillo;31;52000;1612000
80;1/03/2021;Norte;Cartagena;Sonia;Camisa;Rojo;8;45000;360000
80;1/03/2021;Sur;Cartagena;Claudia;Camisa;Gris;20;45000;900000
81;1/03/2021;Norte;Medellín;Sonia;Buzo;Rojo;24;52000;1248000
82;1/03/2021;Centro;Medellín;Claudia;Camisa;Fucsia;15;45000;675000
83;2/03/2021;Norte;Medellín;Claudia;Zapatos;Rojo;41;84000;3444000
84;3/03/2021;Sur;Medellín;Claudia;Camisa;Negro;34;45000;1530000
85;3/03/2021;Sur;Bucaramanga;Erika;Buzo;Gris;24;52000;1248000
86;3/03/2021;Centro;Medellín;Claudia;Buzo;Rojo;11;52000;572000
86;4/03/2021;Centro;Cartagena;Claudia;Buzo;Negro;14;52000;728000
87;4/03/2021;Centro;Cartagena;Claudia;Falda;Gris;27;65000;1755000
87;4/03/2021;Norte;Cartagena;Sonia;Zapatos;Rojo;27;84000;2268000
88;4/03/2021;Centro;Cali;Erika;Buzo;Gris;1;52000;52000
88;4/03/2021;Centro;Bogotá;Fernanda;Camisa;Negro;25;45000;1125000
88;4/03/2021;Norte;Cali;Claudia;Camisa;Amarillo;25;45000;1125000
89;5/03/2021;Centro;Barranquilla;Claudia;Camisa;Negro;46;45000;2070000
89;5/03/2021;Sur;Cartagena;Fernanda;Pantalón;Negro;24;60000;1440000
89;5/03/2021;Norte;Barranquilla;Sonia;Zapatos;Fucsia;36;84000;3024000
90;6/03/2021;Centro;Barranquilla;Claudia;Buzo;Fucsia;48;52000;2496000
91;7/03/2021;Norte;Bucaramanga;Sonia;Zapatos;Gris;28;84000;2352000
92;7/03/2021;Centro;Barranquilla;Sonia;Chaqueta;Negro;2;130000;260000
92;7/03/2021;Sur;Bogotá;Fernanda;Falda;Amarillo;46;65000;2990000
92;7/03/2021;Sur;Cali;Claudia;Falda;Verde;49;65000;3185000
92;8/03/2021;Centro;Cali;Erika;Camisa;Amarillo;11;45000;495000
93;8/03/2021;Sur;Bogotá;Fernanda;Buzo;Fucsia;35;52000;1820000
94;9/03/2021;Norte;Barranquilla;Sonia;Pantalón;Rojo;11;60000;660000
95;9/03/2021;Centro;Medellín;Claudia;Buzo;Verde;49;52000;2548000
96;9/03/2021;Centro;Cali;Erika;Falda;Rojo;30;65000;1950000
97;10/03/2021;Norte;Barranquilla;Erika;Pantalón;Azul;36;60000;2160000
98;10/03/2021;Norte;Barranquilla;Fernanda;Camisa;Negro;26;45000;1170000
99;10/03/2021;Centro;Bogotá;Fernanda;Camisa;Gris;43;45000;1935000
100;10/03/2021;Norte;Barranquilla;Sonia;Chaqueta;Azul;31;130000;4030000
100;11/03/2021;Centro;Bogotá;Fernanda;Buzo;Negro;13;52000;676000
100;11/03/2021;Centro;Barranquilla;Erika;Camisa;Rojo;35;45000;1575000
100;11/03/2021;Centro;Cali;Erika;Buzo;Azul;50;52000;2600000
100;12/03/2021;Sur;Bucaramanga;Claudia;Zapatos;Amarillo;45;84000;3780000
101;12/03/2021;Centro;Bogotá;Fernanda;Chaqueta;Azul;45;130000;5850000
101;12/03/2021;Norte;Barranquilla;Erika;Pantalón;Blanco;1;60000;60000
102;12/03/2021;Norte;Cali;Fernanda;Camisa;Rojo;47;45000;2115000
103;12/03/2021;Sur;Cali;Sonia;Buzo;Amarillo;3;52000;156000
103;12/03/2021;Norte;Cartagena;Claudia;Pantalón;Rojo;10;60000;600000
103;15/03/2021;Sur;Cartagena;Sonia;Buzo;Gris;14;52000;728000
104;15/03/2021;Sur;Cartagena;Claudia;Buzo;Gris;29;52000;1508000
105;15/03/2021;Centro;Cartagena;Erika;Zapatos;Negro;42;84000;3528000
106;15/03/2021;Sur;Bucaramanga;Erika;Pantalón;Gris;48;60000;2880000
107;15/03/2021;Norte;Bucaramanga;Claudia;Buzo;Rojo;24;52000;1248000
107;16/03/2021;Centro;Cali;Erika;Camisa;Fucsia;28;45000;1260000
108;18/03/2021;Centro;Medellín;Fernanda;Chaqueta;Blanco;15;130000;1950000
109;19/03/2021;Centro;Barranquilla;Sonia;Zapatos;Rojo;18;84000;1512000
110;19/03/2021;Sur;Barranquilla;Claudia;Pantalón;Rojo;49;60000;2940000
111;19/03/2021;Sur;Cartagena;Sonia;Falda;Rojo;27;65000;1755000
111;19/03/2021;Sur;Medellín;Claudia;Buzo;Azul;7;52000;364000
112;19/03/2021;Sur;Cali;Erika;Camisa;Azul;42;45000;1890000
112;20/03/2021;Norte;Cali;Erika;Pantalón;Azul;47;60000;2820000
112;20/03/2021;Centro;Barranquilla;Fernanda;Falda;Rojo;2;65000;130000
113;21/03/2021;Centro;Barranquilla;Sonia;Falda;Azul;29;65000;1885000
113;21/03/2021;Sur;Cartagena;Claudia;Chaqueta;Fucsia;39;130000;5070000
113;21/03/2021;Sur;Cali;Fernanda;Falda;Blanco;48;65000;3120000
114;22/03/2021;Norte;Cartagena;Fernanda;Zapatos;Rojo;33;84000;2772000
114;23/03/2021;Norte;Bucaramanga;Sonia;Camisa;Gris;29;45000;1305000
114;23/03/2021;Centro;Cartagena;Fernanda;Falda;Azul;10;65000;650000
115;23/03/2021;Norte;Barranquilla;Fernanda;Pantalón;Negro;15;60000;900000
116;23/03/2021;Centro;Bogotá;Sonia;Pantalón;Gris;38;60000;2280000
116;23/03/2021;Centro;Medellín;Erika;Zapatos;Fucsia;46;84000;3864000
117;24/03/2021;Centro;Barranquilla;Sonia;Camisa;Amarillo;37;45000;1665000
117;25/03/2021;Sur;Cali;Claudia;Chaqueta;Fucsia;6;130000;780000
118;25/03/2021;Norte;Cartagena;Claudia;Chaqueta;Gris;49;130000;6370000
119;26/03/2021;Centro;Medellín;Claudia;Chaqueta;Negro;42;130000;5460000
119;26/03/2021;Sur;Barranquilla;Fernanda;Falda;Negro;42;65000;2730000
119;26/03/2021;Centro;Bogotá;Sonia;Falda;Azul;41;65000;2665000
119;26/03/2021;Sur;Medellín;Fernanda;Zapatos;Negro;49;84000;4116000
119;26/03/2021;Centro;Barranquilla;Sonia;Buzo;Azul;9;52000;468000
120;27/03/2021;Norte;Barranquilla;Claudia;Chaqueta;Azul;36;130000;4680000
120;27/03/2021;Sur;Barranquilla;Erika;Falda;Gris;9;65000;585000
120;29/03/2021;Norte;Cali;Fernanda;Camisa;Blanco;40;45000;1800000
121;29/03/2021;Sur;Bucaramanga;Sonia;Zapatos;Rojo;21;84000;1764000
122;29/03/2021;Sur;Cartagena;Erika;Zapatos;Blanco;17;84000;1428000
123;30/03/2021;Sur;Cartagena;Sonia;Camisa;Verde;44;45000;1980000
124;31/03/2021;Sur;Cartagena;Sonia;Pantalón;Verde;20;60000;1200000
125;31/03/2021;Centro;Bogotá;Sonia;Pantalón;Verde;37;60000;2220000
125;1/04/2021;Norte;Cali;Fernanda;Zapatos;Gris;24;84000;2016000
126;1/04/2021;Sur;Bucaramanga;Sonia;Zapatos;Verde;22;84000;1848000
127;1/04/2021;Centro;Cartagena;Claudia;Zapatos;Verde;4;84000;336000
128;1/04/2021;Sur;Cartagena;Sonia;Zapatos;Rojo;36;84000;3024000
128;1/04/2021;Oriente;Barranquilla;Pacho;Medias;Verde;1000;10000;10000000
128;3/04/2021;Centro;Bogotá;Fernanda;Buzo;Fucsia;7;52000;364000
129;3/04/2021;Centro;Cartagena;Erika;Camisa;Fucsia;11;45000;495000
130;4/04/2021;Norte;Bogotá;Erika;Zapatos;Fucsia;27;84000;2268000
130;5/04/2021;Sur;Cali;Erika;Camisa;Blanco;38;45000;1710000
130;6/04/2021;Centro;Bucaramanga;Erika;Zapatos;Gris;18;84000;1512000
131;7/04/2021;Norte;Barranquilla;Claudia;Zapatos;Rojo;38;84000;3192000
132;8/04/2021;Sur;Bucaramanga;Claudia;Chaqueta;Verde;32;130000;4160000
133;8/04/2021;Sur;Cali;Fernanda;Camisa;Verde;48;45000;2160000
133;8/04/2021;Norte;Bucaramanga;Claudia;Zapatos;Rojo;50;84000;4200000
134;9/04/2021;Centro;Bogotá;Erika;Pantalón;Amarillo;11;60000;660000
134;10/04/2021;Sur;Medellín;Claudia;Buzo;Verde;31;52000;1612000
134;10/04/2021;Sur;Bogotá;Claudia;Buzo;Fucsia;17;52000;884000
134;11/04/2021;Centro;Bogotá;Sonia;Zapatos;Amarillo;35;84000;2940000
135;11/04/2021;Sur;Cali;Claudia;Chaqueta;Negro;50;130000;6500000
136;12/04/2021;Norte;Barranquilla;Sonia;Chaqueta;Negro;39;130000;5070000
136;12/04/2021;Centro;Cali;Claudia;Chaqueta;Fucsia;23;130000;2990000
136;12/04/2021;Sur;Cartagena;Claudia;Pantalón;Azul;34;60000;2040000
136;12/04/2021;Norte;Cartagena;Sonia;Buzo;Verde;50;52000;2600000
136;12/04/2021;Sur;Cali;Fernanda;Buzo;Negro;30;52000;1560000
137;13/04/2021;Norte;Bogotá;Claudia;Camisa;Gris;33;45000;1485000
137;13/04/2021;Centro;Barranquilla;Claudia;Camisa;Verde;3;45000;135000
138;15/04/2021;Centro;Cartagena;Fernanda;Zapatos;Azul;29;84000;2436000
139;16/04/2021;Norte;Bogotá;Claudia;Falda;Verde;27;65000;1755000
140;17/04/2021;Centro;Cali;Claudia;Camisa;Gris;24;45000;1080000
141;17/04/2021;Norte;Barranquilla;Fernanda;Chaqueta;Fucsia;21;130000;2730000
142;17/04/2021;Norte;Barranquilla;Fernanda;Chaqueta;Fucsia;15;130000;1950000
142;17/04/2021;Norte;Bucaramanga;Claudia;Buzo;Verde;22;52000;1144000
142;17/04/2021;Centro;Cartagena;Claudia;Camisa;Blanco;27;45000;1215000
142;17/04/2021;Centro;Cali;Sonia;Camisa;Amarillo;44;45000;1980000
142;17/04/2021;Sur;Cali;Sonia;Zapatos;Azul;45;84000;3780000
143;18/04/2021;Norte;Barranquilla;Sonia;Buzo;Gris;35;52000;1820000
144;18/04/2021;Norte;Bogotá;Claudia;Falda;Verde;35;65000;2275000
144;18/04/2021;Norte;Cali;Claudia;Chaqueta;Azul;22;130000;2860000
145;19/04/2021;Centro;Medellín;Claudia;Zapatos;Negro;13;84000;1092000
146;20/04/2021;Norte;Bogotá;Claudia;Chaqueta;Blanco;9;130000;1170000
147;21/04/2021;Sur;Barranquilla;Sonia;Chaqueta;Blanco;17;130000;2210000
148;22/04/2021;Norte;Bucaramanga;Sonia;Chaqueta;Gris;38;130000;4940000
148;22/04/2021;Norte;Cali;Erika;Pantalón;Azul;46;60000;2760000
149;22/04/2021;Sur;Bucaramanga;Sonia;Zapatos;Azul;24;84000;2016000
150;22/04/2021;Sur;Bucaramanga;Fernanda;Falda;Gris;35;65000;2275000
150;22/04/2021;Centro;Barranquilla;Erika;Zapatos;Verde;27;84000;2268000
150;22/04/2021;Centro;Medellín;Sonia;Camisa;Gris;44;45000;1980000
151;23/04/2021;Centro;Medellín;Claudia;Pantalón;Gris;42;60000;2520000
151;24/04/2021;Norte;Medellín;Claudia;Buzo;Blanco;48;52000;2496000
152;24/04/2021;Sur;Medellín;Erika;Zapatos;Negro;18;84000;1512000
153;25/04/2021;Sur;Cali;Erika;Pantalón;Negro;28;60000;1680000
153;25/04/2021;Norte;Cali;Claudia;Zapatos;Amarillo;30;84000;2520000
154;25/04/2021;Norte;Medellín;Claudia;Buzo;Negro;2;52000;104000
155;25/04/2021;Centro;Cartagena;Claudia;Camisa;Amarillo;40;45000;1800000
155;25/04/2021;Norte;Bogotá;Sonia;Buzo;Fucsia;31;52000;1612000
155;25/04/2021;Sur;Barranquilla;Fernanda;Chaqueta;Blanco;39;130000;5070000
156;25/04/2021;Norte;Cali;Erika;Buzo;Gris;17;52000;884000
157;25/04/2021;Sur;Cali;Erika;Camisa;Gris;37;45000;1665000
158;26/04/2021;Centro;Barranquilla;Sonia;Zapatos;Blanco;19;84000;1596000
158;26/04/2021;Norte;Medellín;Fernanda;Zapatos;Gris;47;84000;3948000
158;26/04/2021;Sur;Cartagena;Sonia;Pantalón;Amarillo;36;60000;2160000
158;26/04/2021;Sur;Cali;Claudia;Chaqueta;Blanco;30;130000;3900000
158;27/04/2021;Norte;Bucaramanga;Fernanda;Zapatos;Verde;35;84000;2940000
159;27/04/2021;Norte;Barranquilla;Erika;Pantalón;Gris;45;60000;2700000
159;28/04/2021;Centro;Bucaramanga;Fernanda;Buzo;Amarillo;20;52000;1040000
160;28/04/2021;Sur;Bucaramanga;Fernanda;Zapatos;Blanco;43;84000;3612000
161;29/04/2021;Norte;Bucaramanga;Erika;Chaqueta;Negro;32;130000;4160000
162;29/04/2021;Sur;Medellín;Fernanda;Pantalón;Azul;35;60000;2100000
163;29/04/2021;Centro;Bucaramanga;Erika;Falda;Verde;24;65000;1560000
164;29/04/2021;Norte;Cali;Claudia;Pantalón;Amarillo;33;60000;1980000
165;30/04/2021;Sur;Medellín;Sonia;Camisa;Blanco;8;45000;360000
165;1/05/2021;Sur;Medellín;Sonia;Buzo;Blanco;15;52000;780000
165;2/05/2021;Sur;Medellín;Fernanda;Falda;Fucsia;3;65000;195000
165;2/05/2021;Sur;Medellín;Sonia;Camisa;Gris;21;45000;945000
165;2/05/2021;Norte;Cartagena;Claudia;Buzo;Fucsia;3;52000;156000
166;2/05/2021;Norte;Cali;Sonia;Pantalón;Azul;44;60000;2640000
166;3/05/2021;Norte;Barranquilla;Claudia;Camisa;Amarillo;23;45000;1035000
167;3/05/2021;Norte;Bogotá;Claudia;Falda;Rojo;25;65000;1625000
168;3/05/2021;Norte;Bogotá;Erika;Chaqueta;Verde;50;130000;6500000
168;4/05/2021;Norte;Bogotá;Erika;Chaqueta;Amarillo;41;130000;5330000
168;4/05/2021;Centro;Barranquilla;Claudia;Camisa;Verde;4;45000;180000
169;4/05/2021;Sur;Cali;Sonia;Zapatos;Verde;37;84000;3108000
170;5/05/2021;Centro;Barranquilla;Claudia;Camisa;Rojo;16;45000;720000
170;5/05/2021;Norte;Cartagena;Claudia;Chaqueta;Amarillo;18;130000;2340000
171;5/05/2021;Norte;Bucaramanga;Erika;Pantalón;Amarillo;46;60000;2760000
172;6/05/2021;Centro;Barranquilla;Claudia;Falda;Verde;2;65000;130000
172;7/05/2021;Norte;Barranquilla;Fernanda;Buzo;Fucsia;42;52000;2184000
173;8/05/2021;Norte;Medellín;Sonia;Falda;Negro;41;65000;2665000
174;8/05/2021;Centro;Barranquilla;Sonia;Falda;Azul;32;65000;2080000
175;8/05/2021;Norte;Barranquilla;Erika;Pantalón;Verde;3;60000;180000
175;8/05/2021;Norte;Barranquilla;Fernanda;Camisa;Rojo;21;45000;945000
